Pitch Number,Multiple Entrepreneurs,Entrepreneur 1 Name,Entrepreneur 2 Name,Gender(s),City,State,Industry
376,True,Sylvie Shapiro ,Nicole Brooks,Female,Los Angeles,CA,Software/Tech
377,False,Kaeya Majmundar,,Female,Chicago,IL,Lifestyle/Home
378,False,Unknown,,Male,Aurora,IL,Children/Education
379,True,Matthew ,Emily Griffin,Mixed Team,Carmel,IN,Food and Beverage
380,False,Unknown,,Mixed Team,Fort Worth,TX,Children/Education
381,False,Unknown,,Male,New York,NY,Fashion/Beauty
382,False,Unknown,,Male,Los Angeles,CA,Fashion/Beauty
383,False,Unknown,,Male,Washington,DC,Electronics
384,False,Unknown,,Male,San Diego,CA,Fitness/Sports/Outdoors
385,False,Unknown,,Female,Palo Alto,CA,Children/Education
386,False,Unknown,,Male,Charlotte,NC,Lifestyle/Home
387,False,Unknown,,Male,Las Vegas,NV,Lifestyle/Home
388,False,Anastasia Heart,,Female,Los Angeles,CA,Pet Products
389,True,Ray Philips ,Alvin Uy,Male,Los Angeles,CA,Children/Education
390,False,Unknown,,Male,Chicago,IL,Children/Education
391,False,Unknown,,Mixed Team,San Francisco,CA,Fashion/Beauty
392,False,Unknown,,Male,Roy,UT,Children/Education
393,True,Ben ,Eric Kusin,Male,Dallas,TX,Lifestyle/Home
394,False,Unknown,,Female,Grandville,MI,Food and Beverage
395,False,Unknown,,Male,Houston,TX,Lifestyle/Home
396,True,Josh ,Diana Harbour,Mixed Team,Athens,GA,Fashion/Beauty
397,True,Daniel Gershon, David Levich,Male,Los Angeles,CA,Fashion/Beauty
398,True,Rachel ,Steve McMurtrey,Mixed Team,Orem,UT,Children/Education
399,False,Meghan Tarney,,Female,Myrtle Beach,NC,Fitness/Sports/Outdoors
400,True,Sara ,Josh Margulis,Mixed Team,Sebastopol,CA,Software/Tech
401,True,Brad Schultz, Aimy Steadman,Mixed Team,Austin,TX,Food and Beverage
402,True,Amy Jo ,Curt Campbell,Male,Egg Harbor,WI,Food and Beverage
403,True,Phil Reitnour ,Jason D. Friedberg,Male,San Francisco,CA,Software/Tech
404,False,Talia Goldfarb,,Female,St. Louis,MO,Children/Education
405,False,Patrick  Whaley,,Male,Atlanta,GA,Fitness/Sports/Outdoors
406,True,John Devecka ,Eric Berkowitz,Male,New York,NY,Children/Education
407,False,Eric Bandholz,,Male,San Francisco,CA,Fashion/Beauty
408,False,Ashley Drake,,Female,Louisville,KY,Fitness/Sports/Outdoors
409,True,Jen ,Eli Crane,Male,Tucson,AZ,Food and Beverage
410,False,Aaron Tweedie,,Male,Linden,VA,Fashion/Beauty
411,True,Wade ,Lori Morrell,Mixed Team,Pickerington,OH,Pet Products
412,False,Heidi K. Lovig,,Female,Portland,OR,Food and Beverage
413,True,Bobby ,Judy Edwards,Mixed Team,St. George,UT,Lifestyle/Home
414,True,Jeff ,Jennifer Martin,Mixed Team,Harlem,NY,Food and Beverage
415,False,John D. Smith,,Male,Orlando,FL,Lifestyle/Home
416,False,Sharon Yu,,Female,Chino,CA,Food and Beverage
417,False,Tom Sanetti,,Male,Huntington Beach,CA,Lifestyle/Home
418,True,David Krippendorf ,Ryan Tseng,Male,San Francisco,CA,Food and Beverage
419,False,Cameron Sheldrake,,Male,Ithaca,NY,Food and Beverage
420,False,Stephen Hersh,,Male,New York,NY,Lifestyle/Home
421,True,Shawna ,Kurt Feddersen,Mixed Team,Tulsa,OK,Fashion/Beauty
422,False,Andrew McMurray,,Male,Santa Rosa,CA,Food and Beverage
423,False,Lydia Evans,,Female,Houston,TX,Fashion/Beauty
424,False,Trina Barkouras,,Female,Newport Beach,CA,Lifestyle/Home
425,True,Andrea ,Hong Cao,Female,San Luis Obispo,CA,Health/Wellness
426,False,Neal Hoffman,,Male,Madeira,OH,Lifestyle/Home
427,False,Nathan Shaffer,,Male,Henderson,NV,Lifestyle/Home
428,True,Nick ,Elyse Oleksak,Mixed Team,New York,NY,Food and Beverage
429,False,Zander Adell,,Male,San Francisco,CA,Lifestyle/Home
430,False,Julie Kalimian,,Female,New York,NY,Fashion/Beauty
431,True,Arum, Dawoon,Female,San Francisco,CA,Software/Tech
432,True,Ellie Brown ,Becca Nelson,Female,Raleigh,NC,Fashion/Beauty
433,True,Justin Koehneke ,Seth Friedman,Male,Richmond,VA,Lifestyle/Home
434,True,Leah Tutin ,Taya Geiger,Female,Portland,OR,Food and Beverage
435,True,Arthur Grayer ,Michael Wooley,Male,Suwannee,GA,Children/Education
436,False,Kristina Guerrero,,Female,Bend,OR,Pet Products
437,False,Max Gunawan,,Male,San Francisco,CA,Lifestyle/Home
438,False,Joe Chay,,Male,Columbus,OH,Fashion/Beauty
439,True,Neil Joglekar ,Justin Lee,Male,Boston,MA,Lifestyle/Home
440,True,Ned Kensing ,Jennifer Wright-Laracy,Mixed Team,New York,NY,Food and Beverage
441,True,Dan Barnes ,Wesley LaPorte,Male,Provo,UT,Software/Tech
442,True,Deborah ,David Meniane,Mixed Team,Los Angeles,CA,Food and Beverage
443,False,Aaron McDaniel,,Male,San Francisco,CA,Software/Tech
444,False,Andrew Feld,,Male,Davenport,FL,Pet Products
445,False,Naushad Ali,,Male,Springfield,MO,Lifestyle/Home
446,True,Liz Moskow ,Abby Schwalb,Female,Portland,OR,Fashion/Beauty
447,False,Mark Aramli,,Male,Newport,RI,Lifestyle/Home
448,False,Kevin Waltermire,,Male,Charleston,SC,Food and Beverage
449,False,Bobbie Rhoads,,Female,New York,NY,Children/Education
450,True,Melissa Butler ,Rosco Spears,Female,New York,NY,Fashion/Beauty
451,True,Suman, Sujan and Nishes Shrestha,Male,Mukilteo,WA,Pet Products
452,False,C.C. Conrad,,Female,San Francisco,CA,Fashion/Beauty
453,False,Mark Peterson,,Male,Eugene,OR,Children/Education
454,True,Ben ,Liz Bohannon,Mixed Team,Portland,OR,Fashion/Beauty
455,False,Jesse Genet,,Female,Los Angeles,CA,Fashion/Beauty
456,True,Andrea Sreshta ,Anna Stork,Female,Oxford,MI,Travel
457,False,Christopher Gray,,Male,Philadelphia,PA,Children/Education
458,True,Nayeem Hussain ,Ryan Fant,Male,New York,NY,Lifestyle/Home
459,True,Jack DuFour ,Ashley Heffern,Mixed Team,Blacksburg,VA,Fashion/Beauty
460,False,Dave Goodman,,Male,Austin,TX,Food and Beverage
461,False,George Conway,,Male,Austell,GA,Automotive
462,True,Kate Steadman ,Sharon Bui,Female,Raleigh,NC,Fashion/Beauty
463,True,Michelle ,Jason Barsosky,Mixed Team,Atlanta,GA,Children/Education
464,False,Dave Alwan,,Male,Bartonville,IL,Food and Beverage
465,False,Brian Lim,,Male,Los Angeles,CA,Media/Entertainment
466,True,Jonathan Kinas, Rob Peck and Avin Samtani,Male,Aventura,FL,Lifestyle/Home
467,False,Catalina Girald,,Female,San Francisco,CA,Fashion/Beauty
468,True,Mikaila ,Theo Ulmer,Mixed Team,Austin,TX,Food and Beverage
469,False,Patrick Ambron,,Male,New York,NY,Software/Tech
470,True,Brooke Martin ,James Pelland,Mixed Team,Spokane,WA,Pet Products
471,False,Ryan Shell,,Male,New York,NY,Fashion/Beauty
472,False,Alex Furmansky,,Male,Lake Worth,FL,Children/Education
473,False,Matt Reed,,Male,Portland,OR,Lifestyle/Home
474,False,Julie Thompson,,Female,Atlanta,GA,Children/Education
475,True,Joel Vinocur ,Arsene Millogo,Male,Indianapolis,IN,Fitness/Sports/Outdoors
476,True,Danielle Stangler ,Julia Rossi,Female,Denver,CO,Children/Education
477,True,Byron Dunn, Mark Melni,Male,Twin Falls,ID,Electronics
478,True,Alex Milewski ,Sherisse Hawkins,Mixed Team,Boulder,CO,Software/Tech
479,False,Mont Handley,,Male,Pittsburgh,PA,Green/CleanTech
480,True,Kim Kaupe ,Brittany Hodak,Female,New York,NY,Media/Entertainment
481,True,Dean Whitney ,Jamie Manning,Male,Somerville,MA,Software/Tech
482,True,Sasha Koehn ,Erik Schnakenberg,Male,Los Angeles,CA,Fashion/Beauty
483,False,Bryan Scott,,Male,Atlanta,GA,Fashion/Beauty
484,True,Ethan Tucker ,Pat Boone,Male,New Paltz,NY,Travel
485,False,Shauna Sledge,,Female,Ft. Collins,CO,Food and Beverage
486,False,Greg Myerson,,Male,Westbrook,CT,Fitness/Sports/Outdoors
487,True,Konrad Billetz ,Kevin Habich,Male,Cincinnati,OH,Fashion/Beauty
488,True,Beatrice Fischel-Bock, Madeine Fraser & Lizzie Grover,Female,Philadelphia,PA,Lifestyle/Home
489,True,Tony Fayne ,Josh Kaplan,Male,Detroit,MI,Lifestyle/Home
490,False,Christopher Sakezles,,Male,Tampa,FL,Health/Wellness
491,True,Keri Andrews ,Alesia Glidewell,Female,Seattle,WA,Children/Education
492,True,David Patrick ,Zack Fleishman,Male,Lake Forest,CA,Fitness/Sports/Outdoors
493,False,Adriana Montano,,Female,Boca Raton,FL,Pet Products
494,False,Joe Wilcox,,Male,Palo Alto,CA,Green/CleanTech
495,False,Chris Ruder,,Male,Chicago,IL,Fitness/Sports/Outdoors
496,False,Unknown,,Male,Unknown,Unknown,Children/Education
497,False,Unknown,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
498,False,Unknown,,Female,Unknown,Unknown,Food and Beverage
499,False,Unknown,,Male,Unknown,Unknown,Software/Tech
500,False,Unknown,,Male,Unknown,Unknown,Food and Beverage
501,False,Unknown,,Male,Unknown,Unknown,Software/Tech
502,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
503,False,Unknown,,Female,Unknown,Unknown,Food and Beverage
504,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
505,False,Unknown,,Male,Unknown,Unknown,Software/Tech
506,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
507,False,Unknown,,Mixed Team,Unknown,Unknown,Fashion/Beauty
508,False,Unknown,,Male,Unknown,Unknown,Food and Beverage
509,False,Brian Kleinschmidt,,Male,Unknown,Unknown,Children/Education
510,False,Unknown,,Mixed Team,Unknown,Unknown,Food and Beverage
511,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
512,False,Unknown,,Male,Unknown,Unknown,Food and Beverage
513,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
514,False,Unknown,,Mixed Team,Unknown,Unknown,Children/Education
515,False,Unknown,,Male,Unknown,Unknown,Software/Tech
516,False,Unknown,,Male,Unknown,Unknown,Software/Tech
517,False,Unknown,,Male,Unknown,Unknown,Food and Beverage
518,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
519,False,Unknown,,Female,Unknown,Unknown,Children/Education
520,False,Unknown,,Mixed Team,Unknown,Unknown,Food and Beverage
521,True,Hugo Saavedra ,Debra Saavedra,Mixed Team,Unknown,Unknown,Lifestyle/Home
522,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
523,False,Unknown,,Female,Unknown,Unknown,Fitness/Sports/Outdoors
524,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
525,False,Unknown,,Mixed Team,Unknown,Unknown,Lifestyle/Home
526,False,Unknown,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
527,False,Unknown,,Male,Unknown,Unknown,Software/Tech
528,False,Unknown,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
529,False,Unknown,,Mixed Team,Unknown,Unknown,Food and Beverage
530,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
531,False,Unknown,,Mixed Team,Unknown,Unknown,Lifestyle/Home
532,False,Unknown,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
533,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
534,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
535,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
536,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
537,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
538,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
539,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
540,False,Unknown,,Mixed Team,Unknown,Unknown,Food and Beverage
541,False,Unknown,,Male,Unknown,Unknown,Children/Education
542,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
543,False,Peter Thorpe,,Male,Unknown,Unknown,Lifestyle/Home
544,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
545,False,Unknown,,Male,Unknown,Unknown,Food and Beverage
546,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
547,False,Unknown,,Female,Unknown,Unknown,Food and Beverage
548,False,Unknown,,Male,Unknown,Unknown,Software/Tech
549,False,Unknown,,Mixed Team,Unknown,Unknown,Children/Education
550,False,Unknown,,Mixed Team,Unknown,Unknown,Children/Education
551,False,Unknown,,Mixed Team,Unknown,Unknown,Fashion/Beauty
552,False,Unknown,,Mixed Team,Unknown,Unknown,Fitness/Sports/Outdoors
553,False,Unknown,,Male,Unknown,Unknown,Software/Tech
554,False,Unknown,,Male,Unknown,Unknown,Travel
555,False,Unknown,,Male,Unknown,Unknown,Children/Education
556,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
557,False,Unknown,,Male,Unknown,Unknown,Media/Entertainment
558,False,Unknown,,Female,Unknown,Unknown,Lifestyle/Home
559,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
560,False,Unknown,,Male,Unknown,Unknown,Health/Wellness
561,False,Unknown,,Female,Unknown,Unknown,Food and Beverage
562,False,Unknown,,Female,Unknown,Unknown,Children/Education
563,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
564,True,Ben Young ,Greg Coleman,Male,Unknown,Unknown,Fitness/Sports/Outdoors
565,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
566,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
567,False,Unknown,,Male,Unknown,Unknown,Green/CleanTech
568,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
569,False,Unknown,,Mixed Team,Unknown,Unknown,Food and Beverage
570,False,Unknown,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
571,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
572,False,Katherine Krug,,Female,Unknown,Unknown,Health/Wellness
573,False,Unknown,,Mixed Team,Unknown,Unknown,Health/Wellness
574,False,Unknown,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
575,False,Unknown,,Female,Unknown,Unknown,Food and Beverage
576,False,Unknown,,Male,Unknown,Unknown,Liquor/Alcohol
577,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
578,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
579,False,Unknown,,Mixed Team,Unknown,Unknown,Pet Products
580,False,Unknown,,Male,Unknown,Unknown,Liquor/Alcohol
581,True,Steven Bofill ,Brian Shimmerlik,Male,Unknown,Unknown,Food and Beverage
582,False,Unknown,,Female,Unknown,Unknown,Food and Beverage
583,False,Unknown,,Female,Unknown,Unknown,Pet Products
584,False,Unknown,,Male,Unknown,Unknown,Pet Products
585,False,Unknown,,Male,Unknown,Unknown,Children/Education
586,False,Unknown,,Male,Unknown,NY,Uncertain/Other
587,True,Chris Stoikos ,Jason Neubauer,Male,Unknown,Unknown,Lifestyle/Home
588,False,Unknown,,Male,Unknown,Unknown,Pet Products
589,False,Unknown,,Male,Unknown,Unknown,Fashion/Beauty
590,False,Unknown,,Male,Unknown,Unknown,Software/Tech
591,False,Unknown,,Mixed Team,Unknown,Unknown,Fitness/Sports/Outdoors
592,False,Unknown,,Male,Unknown,CO,Food and Beverage
593,False,Unknown,,Male,Unknown,NV,Media/Entertainment
594,False,Unknown,,Male,Unknown,Unknown,Fitness/Sports/Outdoors
595,False,Unknown,,Female,Unknown,TX,Children/Education
596,False,Unknown,,Female,Unknown,CA,Fashion/Beauty
597,False,Unknown,,Mixed Team,Unknown,NY,Uncertain/Other
598,False,Unknown,,Male,Unknown,CA,Food and Beverage
599,False,Unknown,,Male,Unknown,CA,Children/Education
600,False,Unknown,,Female,Unknown,NY,Food and Beverage
601,False,Unknown,,Female,Unknown,HI,Fashion/Beauty
602,False,Unknown,,Mixed Team,Unknown,FL,Fashion/Beauty
603,False,Unknown,,Male,Unknown,CA,Fitness/Sports/Outdoors
604,False,Unknown,,Male,Unknown,NY,Fitness/Sports/Outdoors
605,False,Unknown,,Male,Unknown,NY,Automotive
606,False,Unknown,,Female,Unknown,Unknown,Fitness/Sports/Outdoors
607,False,Unknown,,Male,Unknown,OH,Media/Entertainment
608,False,Unknown,,Male,Unknown,GA,Fashion/Beauty
609,False,Unknown,,Female,Unknown,MA,Food and Beverage
610,False,Unknown,,Male,Unknown,CO,Lifestyle/Home
611,False,Unknown,,Male,Unknown,MA,Liquor/Alcohol
612,False,Unknown,,Male,Unknown,NJ,Liquor/Alcohol
613,False,Unknown,,Mixed Team,Unknown,UT,Food and Beverage
614,False,Unknown,,Male,Unknown,MA,Fashion/Beauty
615,False,Unknown,,Female,Unknown,IL,Software/Tech
616,False,Unknown,,Male,Unknown,FL,Fashion/Beauty
617,False,Unknown,,Female,Unknown,WA,Lifestyle/Home
618,False,Unknown,,Male,Unknown,CA,Food and Beverage
619,False,Unknown,,Male,Unknown,LA,Fitness/Sports/Outdoors
620,False,Unknown,,Female,Unknown,FL,Fashion/Beauty
621,False,Unknown,,Male,Unknown,HI,Food and Beverage
622,True,Adam Cookson ,Craig Beinecke,Male,Unknown,CO,Software/Tech
623,True,Renata Storer ,Doug Storer,Mixed Team,Unknown,FL,Fitness/Sports/Outdoors
624,False,Unknown,,Female,Unknown,NY,Fashion/Beauty
625,False,Unknown,,Male,Unknown,FL,Food and Beverage
626,False,Unknown,,Male,Unknown,TX,Food and Beverage
627,False,Unknown,,Female,Unknown,TN,Fashion/Beauty
628,False,Unknown,,Female,Unknown,OR,Children/Education
629,False,Unknown,,Male,Unknown,NY,Food and Beverage
630,False,Unknown,,Female,Unknown,TX,Lifestyle/Home
631,False,Unknown,,Male,Unknown,FL,Pet Products
632,False,Unknown,,Female,Unknown,PA,Food and Beverage
633,False,Unknown,,Male,Unknown,NY,Travel
634,False,Unknown,,Male,Unknown,NC,Health/Wellness
635,False,Unknown,,Male,Unknown,CA,Media/Entertainment
636,False,Unknown,,Female,Unknown,UT,Lifestyle/Home
637,False,Hillary Hahn,,Female,Unknown,PA,Fashion/Beauty
638,False,Unknown,,Male,Unknown,CA,Food and Beverage
639,False,Unknown,,Male,Unknown,MA,Software/Tech
640,False,Unknown,,Female,Unknown,TX,Children/Education
641,False,Jack Bonneau,,Male,Unknown,CO,Children/Education
642,False,Unknown,,Male,Unknown,TX,Food and Beverage
643,False,Junior Desinor,,Male,Unknown,TX,Lifestyle/Home
644,False,Unknown,,Mixed Team,Unknown,CA,Pet Products
645,False,Unknown,,Male,Unknown,NV,Fashion/Beauty
646,False,Unknown,,Female,Unknown,MA,Food and Beverage
647,False,Unknown,,Male,Unknown,WI,Fitness/Sports/Outdoors
648,True,Ryan Evans, David Evans,Male,Unknown,CA,Fitness/Sports/Outdoors
649,False,Unknown,,Male,Unknown,NY,Pet Products
650,False,Unknown,,Male,Unknown,CA,Food and Beverage
651,False,Unknown,,Mixed Team,Unknown,CA,Food and Beverage
652,False,Sarah Blaine,,Female,Unknown,FL,Children/Education
653,False,Unknown,,Male,Unknown,AZ,Fitness/Sports/Outdoors
654,False,Unknown,,Male,Unknown,IL,Lifestyle/Home
655,False,Unknown,,Male,Unknown,UT,Fitness/Sports/Outdoors
656,False,Unknown,,Mixed Team,Unknown,OR,Pet Products
657,False,Unknown,,Mixed Team,Unknown,NY,Fashion/Beauty
658,False,Unknown,,Male,Unknown,NC,Food and Beverage
659,False,Unknown,,Mixed Team,Unknown,FL,Children/Education
660,False,Unknown,,Female,Unknown,TX,Lifestyle/Home
661,False,Unknown,,Male,Unknown,NY,Children/Education
662,False,Unknown,,Female,Unknown,PA,Fashion/Beauty
663,False,Unknown,,Female,Unknown,NY,Fashion/Beauty
664,False,Unknown,,Female,Unknown,CA,Food and Beverage
665,False,Unknown,,Male,Unknown,MN,Media/Entertainment
666,False,Unknown,,Mixed Team,Unknown,TX,Children/Education
667,False,Unknown,,Male,Unknown,MA,Fitness/Sports/Outdoors
668,False,Unknown,,Male,Unknown,NV,Fitness/Sports/Outdoors
669,False,Unknown,,Female,Unknown,CT,Lifestyle/Home
670,False,Unknown,,Male,Unknown,CA,Fitness/Sports/Outdoors
671,False,Richard Elden,,Male,Unknown,CA,Lifestyle/Home
672,False,Unknown,,Female,Unknown,MA,Children/Education
673,False,Unknown,,Mixed Team,Unknown,OH,Health/Wellness
674,False,Unknown,,Male,Unknown,OH,Food and Beverage
675,True,Nicole ,Matt Rasor,Mixed Team,Unknown,CA,Fashion/Beauty
676,False,Unknown,,Female,Unknown,NY,Children/Education
677,False,Unknown,,Male,Unknown,CO,Green/CleanTech
678,False,Unknown,,Male,Unknown,NY,Travel
679,False,Unknown,,Male,Unknown,CO,Children/Education
680,False,Unknown,,Male,Unknown,CA,Fitness/Sports/Outdoors
681,False,Unknown,,Male,Unknown,CA,Health/Wellness
682,False,Unknown,,Female,Unknown,MA,Software/Tech
683,False,Unknown,,Male,Unknown,NY,Fashion/Beauty
684,False,Unknown,,Female,Unknown,CA,Fashion/Beauty
685,False,Billy Dim,,Male,Unknown,CA,Food and Beverage
686,False,Unknown,,Male,Unknown,CA,Food and Beverage
687,True,Alex ,Aric Avedissian,Male,Unknown,CA,Fashion/Beauty
688,False,Unknown,,Male,Unknown,CO,Pet Products
689,False,Unknown,,Male,Unknown,VT,Lifestyle/Home
690,False,Unknown,,Female,Unknown,HI,Lifestyle/Home
691,False,Unknown,,Male,Unknown,OH,Fitness/Sports/Outdoors
692,False,Unknown,,Male,Unknown,IL,Software/Tech
693,False,Unknown,,Mixed Team,Unknown,CA,Lifestyle/Home
694,False,Unknown,,Male,Unknown,OR,Software/Tech
695,False,Unknown,,Male,Unknown,CA,Fitness/Sports/Outdoors
696,False,Unknown,,Female,Unknown,CA,Lifestyle/Home
697,False,Unknown,,Male,Unknown,HI,Fitness/Sports/Outdoors
698,False,Unknown,,Mixed Team,Unknown,TX,Fashion/Beauty
699,False,Unknown,,Male,Unknown,OH,Fashion/Beauty
700,False,Unknown,,Male,Unknown,CA,Fashion/Beauty
701,False,Unknown,,Male,Unknown,CA,Fashion/Beauty
702,False,Unknown,,Mixed Team,Unknown,IL,Food and Beverage
703,False,Unknown,,Male,Unknown,CO,Lifestyle/Home
704,True,Patrick ,Harriet Mills,Mixed Team,Unknown,NC,Media/Entertainment
705,False,Unknown,,Male,Unknown,MA,Software/Tech
706,False,Unknown,,Male,Unknown,FL,Fashion/Beauty
707,False,Unknown,,Female,Unknown,PA,Fashion/Beauty
708,False,Unknown,,Mixed Team,Unknown,CA,Fitness/Sports/Outdoors
709,False,Unknown,,Male,Unknown,AL,Fitness/Sports/Outdoors
710,False,Unknown,,Mixed Team,Unknown,MS,Fitness/Sports/Outdoors
711,False,Unknown,,Female,Unknown,CA,Health/Wellness
712,False,Unknown,,Male,Unknown,CA,Lifestyle/Home
713,False,Unknown,,Mixed Team,Unknown,CO,Food and Beverage
714,False,Unknown,,Male,Unknown,NC,Media/Entertainment
715,False,Unknown,,Male,Unknown,CA,Travel
716,False,Unknown,,Male,Unknown,AZ,Lifestyle/Home
717,False,Unknown,,Male,Unknown,UT,Fashion/Beauty
718,False,Unknown,,Male,Unknown,OH,Food and Beverage
719,False,Unknown,,Female,Unknown,WA,Children/Education
720,False,Unknown,,Female,Unknown,NV,Food and Beverage
721,False,Unknown,,Male,Unknown,MI,Health/Wellness
722,False,Unknown,,Male,Unknown,TX,Fitness/Sports/Outdoors
723,False,Unknown,,Male,Unknown,CA,Fitness/Sports/Outdoors
724,False,Unknown,,Male,Unknown,MI,Fashion/Beauty
725,False,Unknown,,Male,Unknown,CA,Media/Entertainment
726,False,Unknown,,Male,Unknown,MA,Lifestyle/Home
727,False,Unknown,,Male,Unknown,FL,Fitness/Sports/Outdoors
728,False,Unknown,,Mixed Team,Unknown,WA,Children/Education
729,False,Unknown,,Male,Unknown,NY,Children/Education
730,False,Unknown,,Mixed Team,Unknown,UT,Lifestyle/Home
731,False,Unknown,,Male,Unknown,CA,Fitness/Sports/Outdoors
732,False,Unknown,,Male,Unknown,MA,Fitness/Sports/Outdoors
733,False,Unknown,,Male,Unknown,MA,Children/Education
734,True,Zoni Honig ,Isaac Deutsch,Male,Unknown,CA,Automotive
735,False,Unknown,,Female,Unknown,IL,Children/Education
736,False,Unknown,,Female,Unknown,CA,Fashion/Beauty
737,False,Unknown,,Mixed Team,Unknown,OR,Children/Education
738,False,Unknown,,Male,Unknown,CO,Lifestyle/Home
739,False,Unknown,,Female,Unknown,PA,Food and Beverage
740,False,Unknown,,Male,Unknown,IL,Pet Products
741,False,Unknown,,Mixed Team,Unknown,AZ,Software/Tech
742,False,Unknown,,Male,Unknown,CA,Fitness/Sports/Outdoors
743,False,Unknown,,Female,Unknown,VA,Fitness/Sports/Outdoors
744,False,Unknown,,Male,Unknown,OH,Automotive
745,False,Unknown,,Male,Unknown,NY,Health/Wellness
746,False,Unknown,,Male,Unknown,TX,Fitness/Sports/Outdoors
747,False,Unknown,,Female,Unknown,MD,Software/Tech
748,False,Unknown,,Male,Unknown,FL,Food and Beverage
749,False,Unknown,,Male,Unknown,FL,Fashion/Beauty
750,False,Unknown,,Female,Unknown,Non-US,Children/Education
751,False,Unknown,,Male,Unknown,CA,Lifestyle/Home
752,False,Unknown,,Male,Unknown,NY,Software/Tech
753,False,Unknown,,Male,Unknown,CA,Lifestyle/Home
754,False,Julia Cheek,,Female,Unknown,TX,Health/Wellness
755,True,Ashley Thompson ,Kat Thomas,Female,Unknown,CA,Food and Beverage
756,False,Unknown,,Male,Unknown,AZ,Fashion/Beauty
757,False,Unknown,,Male,Unknown,NY,Lifestyle/Home
758,False,Unknown,,Male,Unknown,CA,Media/Entertainment
759,False,Unknown,,Male,Unknown,CO,Lifestyle/Home
760,False,Yair Reiner,,Male,Unknown,NY,Lifestyle/Home
761,False,Unknown,,Male,Unknown,FL,Fitness/Sports/Outdoors
762,False,Unknown,,Mixed Team,Unknown,CA,Lifestyle/Home
763,False,Unknown,,Male,Unknown,NY,Fashion/Beauty
764,False,Unknown,,Male,Unknown,NY,Lifestyle/Home
765,False,Kat Nouri,,Female,Unknown,CA,Green/CleanTech
766,False,Unknown,,Male,Unknown,DC,Business Services
767,False,Unknown,,Male,Unknown,PA,Lifestyle/Home
768,False,Unknown,,Mixed Team,Unknown,GA,Food and Beverage
769,False,Unknown,,Female,Unknown,MI,Pet Products
770,False,Unknown,,Male,Unknown,NY,Fashion/Beauty
771,False,Unknown,,Male,Unknown,CA,Fashion/Beauty
772,False,Unknown,,Female,Unknown,MA,Business Services
773,False,Unknown,,Male,Unknown,VA,Fitness/Sports/Outdoors
774,False,Unknown,,Female,Unknown,CA,Food and Beverage
775,False,Unknown,,Female,Unknown,CA,Pet Products
776,False,Unknown,,Male,Unknown,CA,Fashion/Beauty
777,False,Unknown,,Male,Unknown,Unknown,Lifestyle/Home
778,False,Unknown,,Female,Unknown,Unknown,Fashion/Beauty
779,False,Unknown,,Mixed Team,Unknown,Unknown,Food and Beverage
780,False,Unknown,,Female,Unknown,NY,Children/Education
781,False,Unknown,,Male,Unknown,CA,Lifestyle/Home
782,False,Unknown,,Male,Unknown,WI,Fitness/Sports/Outdoors
783,False,Unknown,,Female,Unknown,GA,Fashion/Beauty
784,False,Unknown,,Mixed Team,Unknown,CA,Food and Beverage
785,False,Unknown,,Male,Unknown,MD,Health/Wellness
786,False,Unknown,,Male,Unknown,IL,Children/Education
787,False,Unknown,,Male,Unknown,IL,Fitness/Sports/Outdoors
788,False,Unknown,,Male,Unknown,VT,Food and Beverage
